0,1,2
30.556807,14.825616,anomaly
80.19412,17.97849,anomaly
78.34114,25.61318,anomaly
79.286156,14.00343,anomaly
65.76526,19.741537,anomaly
71.03304,-14.791499,anomaly
69.0532,12.035025,anomaly
74.78238,13.880483,anomaly
-23.423883,-72.032455,anomaly
75.103935,23.268755,anomaly
68.488815,17.017004,anomaly
87.67942,15.675042,anomaly
18.910181,-58.956596,anomaly
-23.692503,-73.82729,anomaly
64.277054,4.3601556,anomaly
61.37364,-7.7545977,anomaly
66.676315,4.191645,anomaly
68.161804,11.973069,anomaly
71.10617,-14.785978,anomaly
74.58625,14.105164,anomaly
62.936653,12.521067,anomaly
96.12079,0.72424793,anomaly
71.054184,-14.789166,anomaly
67.28012,10.195493,anomaly
77.61815,10.925421,anomaly
60.72952,17.563276,anomaly
81.9407,10.096945,anomaly
73.336586,-13.8914385,anomaly
71.12295,6.717729,anomaly
74.791794,14.694141,anomaly
65.92154,15.3164,anomaly
-23.745722,-74.123474,anomaly
73.95973,12.7009115,anomaly
75.22416,13.476852,anomaly
66.14525,6.248954,anomaly
66.02832,6.219395,anomaly
72.94147,-2.1846507,anomaly
106.51495,25.553432,anomaly
70.94417,-14.8075,anomaly
-25.407255,-78.37512,anomaly
77.618065,10.925609,anomaly
92.96338,19.596207,anomaly
75.90218,7.0581083,anomaly
74.55359,13.79507,anomaly
91.48316,19.575382,anomaly
-23.87315,-74.75137,anomaly
-25.366405,-78.32196,anomaly
64.86984,4.4277945,anomaly
90.932816,19.239325,anomaly
50.2993,20.199774,anomaly
99.89163,5.1594615,anomaly
65.4249,11.072074,anomaly
87.67505,15.709249,anomaly
68.109535,7.607399,anomaly
40.834618,15.466853,anomaly
81.417915,21.538128,anomaly
75.08662,23.19622,anomaly
-108.78869,-10.639333,anomaly
81.47552,21.581202,anomaly
69.09408,11.416494,anomaly
-23.545189,-72.68907,anomaly
78.34086,25.613209,anomaly
60.729355,17.563011,anomaly
68.76069,13.130995,anomaly
-25.351206,-78.299065,anomaly
73.16169,-12.37653,anomaly
84.379776,-7.852165,anomaly
64.52834,7.898284,anomaly
76.16115,18.150978,anomaly
58.394093,11.25884,anomaly
76.153984,18.136318,anomaly
100.15146,4.782757,anomaly
71.18504,25.435556,anomaly
-25.431952,-78.40915,anomaly
60.7295,17.563288,anomaly
71.18505,25.435299,anomaly
76.115746,17.985548,anomaly
73.538765,20.78067,anomaly
68.467896,6.994393,anomaly
71.881905,17.98861,anomaly
37.463665,14.970958,anomaly
80.289024,18.018291,anomaly
66.72034,6.1320357,anomaly
70.955345,15.358771,anomaly
64.301865,7.7705474,anomaly
67.10388,5.231647,anomaly
64.54595,4.4046926,anomaly
75.14717,13.368604,anomaly
-23.7126,-74.036995,anomaly
30.301529,1.9014796,anomaly
68.32007,7.153343,anomaly
63.486378,-8.454004,anomaly
67.12306,7.076379,anomaly
75.83449,16.621605,anomaly
75.43604,15.32897,anomaly
66.73744,7.940962,anomaly
75.668076,15.540095,anomaly
91.668144,19.519293,anomaly
-24.336334,-76.57345,anomaly
84.378624,-7.8524237,anomaly
83.961624,-8.069468,anomaly
72.98696,-2.1158671,anomaly
84.379776,-7.852165,anomaly
71.88946,11.000548,anomaly
65.408676,11.004355,anomaly
14.318828,-38.75345,anomaly
92.89588,-0.0083984835,anomaly
75.98492,2.2867997,anomaly
58.305153,11.316396,anomaly
99.42072,2.8852942,anomaly
82.662445,15.067417,anomaly
65.95968,-0.5443157,anomaly
87.53454,18.191393,anomaly
75.96079,2.3341458,anomaly
93.655846,-3.965262,anomaly
100.38063,5.560637,anomaly
81.474915,21.57903,anomaly
76.13327,18.013168,anomaly
87.5421,18.159847,anomaly
86.29048,23.918259,anomaly
87.67443,15.7122555,anomaly
71.95171,11.06182,anomaly
64.92272,-7.60813,anomaly
60.900616,5.9180093,anomaly
90.742744,19.105812,anomaly
69.12417,13.376801,anomaly
84.379364,-7.8522835,anomaly
79.349434,14.032202,anomaly
81.94064,10.096994,anomaly
75.62385,15.417609,anomaly
69.305466,2.2048032,anomaly
82.66242,15.067504,anomaly
-23.559322,-72.78963,anomaly
-24.153574,-75.74025,anomaly
66.62065,4.1573873,anomaly
81.94696,10.07558,anomaly
87.67282,15.71279,anomaly
75.941376,2.3160236,anomaly
-24.479881,-76.95798,anomaly
73.32465,-11.720244,anomaly
74.81057,13.744286,anomaly
71.4631,-14.634804,anomaly
73.190895,-12.216596,anomaly
96.25665,0.5210572,anomaly
72.05874,-14.374264,anomaly
-23.721304,-74.08497,anomaly
63.629925,8.095322,anomaly
33.961693,15.047687,anomaly
-24.082047,-71.76639,anomaly
74.41116,13.768496,anomaly
71.19847,25.426527,anomaly
75.06886,13.171166,anomaly
74.65654,10.274019,anomaly
66.36767,5.609411,anomaly
91.44699,19.472979,anomaly
17.833002,-50.193027,anomaly
66.000015,-0.41471866,anomaly
90.811424,19.152475,anomaly
66.93126,7.8449883,anomaly
72.88864,15.984639,anomaly
76.054405,17.736952,anomaly
50.11161,20.985483,anomaly
-23.4297,-72.0587,anomaly
19.143019,-58.97015,anomaly
65.91774,5.0438223,anomaly
71.840836,18.04139,anomaly
91.530594,19.463696,anomaly
67.01507,7.005015,anomaly
67.35678,6.695425,anomaly
81.941895,10.096964,anomaly
83.973495,-8.073079,anomaly
69.69551,20.86933,anomaly
80.19558,17.97841,anomaly
91.27726,19.376657,anomaly
65.78113,19.747534,anomaly
68.53215,17.034468,anomaly
91.36958,19.655178,anomaly
70.26022,4.558004,anomaly
60.829494,5.8668013,anomaly
70.25216,4.553147,anomaly
91.48343,19.454533,anomaly
75.788216,16.893686,anomaly
65.988335,15.306911,anomaly
58.397243,11.2569685,anomaly
66.10154,6.192216,anomaly
-23.444672,-72.12231,anomaly
78.37697,25.671783,anomaly
-23.483173,-72.30348,anomaly
91.25302,19.422333,anomaly
69.691696,20.86885,anomaly
71.13874,6.7283783,anomaly
58.381855,11.266203,anomaly
69.82879,12.413405,anomaly
71.886826,17.990004,anomaly
70.0222,9.506204,anomaly
67.858696,6.9320188,anomaly
70.020294,9.504302,anomaly
60.903408,5.917746,anomaly
69.726204,12.448322,anomaly
69.07984,12.056051,anomaly
14.264335,-39.06161,anomaly
76.06616,17.735193,anomaly
71.89781,17.993393,anomaly
78.3423,25.628132,anomaly
86.29834,23.904228,anomaly
78.341644,25.613747,anomaly
66.401505,4.101498,anomaly
66.80614,6.728777,anomaly
71.306885,-14.599929,anomaly
65.78597,19.751848,anomaly
58.399506,11.256039,anomaly
58.378635,11.268171,anomaly
91.668495,19.531284,anomaly
96.24582,0.5930937,anomaly
68.72251,13.110429,anomaly
64.3798,7.803566,anomaly
78.34455,25.618149,anomaly
75.84341,7.050045,anomaly
81.4326,21.55086,anomaly
90.821754,19.161777,anomaly
75.79634,16.564816,anomaly
58.38482,11.265491,anomaly
71.89794,17.993725,anomaly
71.938545,11.049729,anomaly
84.3738,-7.8539743,anomaly
73.50858,20.73602,anomaly
72.984344,-2.1142864,anomaly
75.16882,13.743304,anomaly
66.779205,7.598696,anomaly
17.045403,-117.95842,anomaly
75.870636,7.0882826,anomaly
75.96475,17.308353,anomaly
64.44338,7.872632,anomaly
83.97821,-8.049065,anomaly
-25.393364,-78.35574,anomaly
68.33575,12.836715,anomaly
69.10644,13.347073,anomaly
75.07638,23.220686,anomaly
38.238327,4.474618,anomaly
60.902946,5.9179316,anomaly
-23.556559,-72.792046,anomaly
96.55332,1.3755516,anomaly
71.19041,25.431002,anomaly
71.01291,-14.793934,anomaly
-23.776014,-74.2686,anomaly
60.72904,17.563164,anomaly
91.1662,19.381516,anomaly
65.244606,5.4470286,anomaly
64.46796,4.42097,anomaly
66.724815,6.1231256,anomaly
39.38424,15.177535,anomaly
71.1981,25.426714,anomaly
91.6541,19.51814,anomaly
92.963295,19.596088,anomaly
65.98774,15.306839,anomaly
82.748314,15.089627,anomaly
75.4695,14.749743,anomaly
66.83846,7.773809,anomaly
65.78591,19.75164,anomaly
58.446907,11.227399,anomaly
44.676136,16.12443,anomaly
77.617775,10.924838,anomaly
70.2577,4.5567718,anomaly
73.68356,12.265319,anomaly
58.169094,11.407622,anomaly
69.689804,20.86886,anomaly
69.99041,12.515954,anomaly
69.69701,20.869455,anomaly
75.80195,16.520168,anomaly
65.597145,5.8530474,anomaly
64.275986,4.354854,anomaly
71.19838,25.426628,anomaly
32.800564,15.039302,anomaly
-53.658115,-25.820215,anomaly
75.90393,17.048111,anomaly
87.54299,18.16297,anomaly
-23.907717,-74.79648,anomaly
60.729183,17.56343,anomaly
66.82773,4.377947,anomaly
